network,siteId,siteName,status,startDate,stopDate,county,state,latitude,longitude,elevation,stateName,siteClass
NTN,AB32,"Fort Mackay",A,2016-09-13,,"Regional Municipality of Wood Buffalo",AB,57.1894,-111.6406,265,Alberta," "
NTN,AB34,"Stony Mountain",A,2019-04-24,,"Regional Municipality of Wood Buffalo",AB,55.6214,-111.1727,673,Alberta," "
NTN,AB35,"Elk Island",A,2023-01-03,,"Improvement District No. 13 (Elk Island)",AB,53.6824,-112.8680,711,Alberta,I
NTN,AB36,Wapasu,A,2019-11-05,,"Regional Municipality of Wood Buffalo",AB,57.2592,-111.0386,491,Alberta,I
NTN,AB37,"Calling Lake",A,2023-10-24,,"Municipal District Opportunity No. 17",AB,55.1664,-113.2274,620,Alberta,I
NTN,AB38,"Cold Lake",A,2024-03-26,,"Municipal District of Bonnyville",AB,54.4597,-110.1241,530,Alberta,R
NTN,AB39,"Dickson Dam",A,2024-03-26,,"Red Deer County",AB,52.0551,-114.2068,940,Alberta,I
NTN,AB40,Beaverlodge,A,2024-03-26,,"County of Grande Prairie No. 1",AB,55.1963,-119.3968,750,Alberta,I
NTN,AB41,Kananaskis,A,2024-03-26,,"Kananaskis Improvement District",AB,51.0278,-115.0341,220,Alberta," "
NTN,AB42,"Fort Chipewyan",A,2024-03-26,,"Regional Municipality of Wood Buffalo",AB,55.1664,-113.2275,220,Alberta,I
NTN,AK01,"Poker Creek",A,1992-12-29,,"Fairbanks North Star",AK,65.1550,-147.4910,230,Alaska,I
NTN,AK02,Juneau,A,2004-06-22,,Juneau,AK,58.5139,-134.7843,25,Alaska,I
NTN,AK03,"Denali National Park",A,1980-06-17,,Denali,AK,63.7232,-148.9676,661,Alaska,I
NTN,AK96,"Toolik Field Station",A,2017-10-12,,"North Slope Borough",AK,68.6257,-149.6069,730,Alaska," "
NTN,AK97,"Katmai National Park - King Salmon",A,2009-11-02,,"Bristol Bay",AK,58.6794,-156.6664,50,Alaska,I
NTN,AL10,"Black Belt Research & Extension Center",A,1983-08-31,,Dallas,AL,32.4583,-87.2422,58,Alabama,I
NTN,AL99,"Sand Mountain Research & Extension Center",A,1984-10-02,,DeKalb,AL,34.2886,-85.9699,349,Alabama,R
NTN,AR02,"Warren 2WSW",A,1982-05-25,,Bradley,AR,33.6050,-92.0972,76,Arkansas,R
NTN,AR03,"Caddo Valley",A,1983-12-30,,Clark,AR,34.1795,-93.0992,71,Arkansas,R
NTN,AR16,"Buffalo National River-Buffalo Point",A,1982-07-13,,Marion,AR,36.0842,-92.5868,311,Arkansas,I
NTN,AR27,Fayetteville,A,1980-05-13,,Washington,AR,36.1011,-94.1737,381,Arkansas,S
NTN,AZ03,"Grand Canyon National Park-Hopi Point",A,1981-08-11,,Coconino,AZ,36.0586,-112.1840,2071,Arizona,I
NTN,AZ06,"Organ Pipe Cactus National Monument",A,1980-04-15,,Pima,AZ,31.9492,-112.8020,501,Arizona,I
NTN,AZ97,"Petrified Forest National Park-Rainbow Forest",A,2002-12-03,,Apache,AZ,34.8224,-109.8925,1707,Arizona,I
NTN,AZ98,Chiricahua,A,1999-02-23,,Cochise,AZ,32.0097,-109.3889,1570,Arizona,I
NTN,AZ99,"Oliver Knoll",A,1981-08-25,,Graham,AZ,33.0708,-109.8660,1176,Arizona,I
NTN,BC22,"Haul Road Station",A,2012-09-19,,,BC,54.0294,-128.7019,10,"British Columbia",R
NTN,BC23,"Lakelse Lake",A,2013-03-20,,,BC,54.3772,-128.5775,111,"British Columbia",R
NTN,BC24,"Port Edward",A,2014-01-15,,,BC,54.2226,-130.2696,80,"British Columbia",R
NTN,BM01,"Tudor Hill",A,2022-03-15,,,,32.2647,-64.8789,21,," "
NTN,CA42,"Tanbark Flat",A,1982-01-12,,"Los Angeles",CA,34.2071,-117.7618,853,California,S
NTN,CA45,Hopland,A,1979-10-03,,Mendocino,CA,39.0045,-123.0860,253,California,I
NTN,CA50,"Sagehen Creek",A,2001-11-06,,Nevada,CA,39.4315,-120.2397,1931,California,R
NTN,CA66,"Pinnacles National Park-Bear Valley",A,1999-11-02,,"San Benito",CA,36.4834,-121.1570,317,California,I
NTN,CA67,"Joshua Tree National Park-Black Rock",A,2000-09-19,,"San Bernardino",CA,34.0695,-116.3889,1239,California,R
NTN,CA75,"Sequoia National Park-Giant Forest",A,1980-07-08,,Tulare,CA,36.5661,-118.7780,1921,California,I
NTN,CA76,Montague,A,1985-06-25,,Siskiyou,CA,41.7662,-122.4798,799,California,R
NTN,CA88,Davis,A,1978-09-04,,Yolo,CA,38.5357,-121.7762,18,California,S
NTN,CA94,"Converse Flats",A,2006-05-09,,"San Bernardino",CA,34.1938,-116.9131,1724,California,R
NTN,CA96,"Lassen Volcanic National Park-Manzanita Lake",A,2000-06-13,,Shasta,CA,40.5390,-121.5772,1754,California,I
NTN,CA99,"Yosemite National Park-Hodgdon Meadow",A,1981-12-08,,Tuolumne,CA,37.7961,-119.8581,1393,California,I
NTN,CAN5,Frelighsburg,A,2001-10-02,,Brome,PQ,45.0410,-72.8581,195,Quebec,R
NTN,CO00,Alamosa,A,1980-04-22,,Alamosa,CO,37.4421,-105.8680,2285,Colorado,R
NTN,CO01,"Las Animas Fish Hatchery",A,1983-10-04,,Bent,CO,38.1177,-103.3160,1226,Colorado,I
NTN,CO02,"Niwot Saddle",A,1984-06-05,,Boulder,CO,40.0547,-105.5891,3520,Colorado,I
NTN,CO08,"Four Mile Park",A,1987-12-29,,Garfield,CO,39.4025,-107.3454,2502,Colorado,R
NTN,CO09,"Kawuneechee Meadow",A,2012-07-10,,Grand,CO,40.2603,-105.8292,2633,Colorado,I
NTN,CO10,Gothic,A,1999-02-02,,Gunnison,CO,38.9561,-106.9860,2915,Colorado,I
NTN,CO15,"Sand Spring",A,1979-03-20,,Moffat,CO,40.5077,-107.7025,1998,Colorado,R
NTN,CO19,"Rocky Mountain National Park-Beaver Meadows",A,1980-05-29,,Larimer,CO,40.3639,-105.5810,2477,Colorado,R
NTN,CO21,Manitou,A,1978-10-17,,Teller,CO,39.1008,-105.0933,2362,Colorado,R
NTN,CO22,Pawnee,A,1979-05-22,,Weld,CO,40.8060,-104.7560,1641,Colorado,I
NTN,CO80,"Akron 4E",A,2022-10-25,,Washington,CO,40.1552,-103.1417,1364,Colorado," "
NTN,CO81,"Missile Site Park",A,2020-12-08,,Weld,CO,40.4288,-104.8617,,Colorado," "
NTN,CO82,Orchard,A,2021-01-12,,Weld,CO,40.3199,-104.1598,,Colorado," "
NTN,CO90,"Niwot Ridge-Southeast",A,2006-01-24,,Boulder,CO,40.0367,-105.5440,3015,Colorado,I
NTN,CO91,"Wolf Creek Pass",A,1992-05-26,,Mineral,CO,37.4686,-106.7870,3287,Colorado,I
NTN,CO93,"Buffalo Pass - Dry Lake",A,1986-10-14,,Routt,CO,40.5347,-106.7811,2538,Colorado,R
NTN,CO94,Sugarloaf,A,1986-11-04,,Boulder,CO,39.9939,-105.4800,2524,Colorado,R
NTN,CO96,"Molas Pass",A,1986-07-29,,"San Juan",CO,37.7500,-107.6890,3248,Colorado,I
NTN,CO97,"Buffalo Pass - Summit Lake",A,1984-02-07,,Routt,CO,40.5383,-106.6766,3234,Colorado,R
NTN,CO98,"Rocky Mountain National Park-Loch Vale",A,1983-08-16,,Larimer,CO,40.2878,-105.6628,3159,Colorado,I
NTN,CO99,"Mesa Verde National Park-Chapin Mesa",A,1981-04-28,,Montezuma,CO,37.1979,-108.4910,2162,Colorado,I
NTN,CT15,Abington,A,1999-01-26,,Windham,CT,41.8400,-72.0101,209,Connecticut,R
NTN,FL00,"Austin-Cary Forest",A,1978-10-10,,Alachua,FL,29.7603,-82.1989,46,Florida,R
NTN,FL05,"Chassahowitzka National Wildlife Refuge",A,1996-08-27,2024-03-26,Citrus,FL,28.7486,-82.5551,3,Florida,R
NTN,FL11,"Everglades National Park-Research Center",A,1980-06-17,,Dade,FL,25.3900,-80.6800,2,Florida,I
NTN,FL14,Quincy,A,1984-03-13,,Gadsden,FL,30.5486,-84.6004,60,Florida,R
NTN,FL23,Sumatra,A,1999-01-26,,Liberty,FL,30.1106,-84.9902,14,Florida,I
NTN,FL41,"Verna Well Field",A,1983-08-25,,Sarasota,FL,27.3801,-82.2831,25,Florida,R
NTN,GA09,"Okefenokee National Wildlife Refuge",A,1997-06-03,,Charlton,GA,30.7404,-82.1283,45,Georgia,I
NTN,GA41,"Georgia Station",A,1978-10-03,,Pike,GA,33.1805,-84.4103,267,Georgia,R
NTN,GA99,Chula,A,1994-02-10,,Tift,GA,31.5217,-83.5482,108,Georgia,R
NTN,IA08,"Big Springs Fish Hatchery",A,1984-08-14,,Clayton,IA,42.9097,-91.4700,229,Iowa,I
NTN,IA23,"McNay Research Center",A,1984-09-11,,Lucas,IA,40.9631,-93.3925,320,Iowa,R
NTN,ID02,"Priest River Experimental Forest",A,2002-12-31,,Bonner,ID,48.3518,-116.8397,726,Idaho,I
NTN,ID03,"Craters of the Moon National Monument",A,1980-08-22,,Butte,ID,43.4605,-113.5551,1807,Idaho,I
NTN,ID11,"Reynolds Creek",A,1983-11-22,,Owyhee,ID,43.2049,-116.7500,1200,Idaho,I
NTN,IL11,Bondville,A,1979-02-27,,Champaign,IL,40.0528,-88.3719,212,Illinois,S
NTN,IL78,Monmouth,A,1985-01-08,,Warren,IL,40.9153,-90.6270,229,Illinois," "
NTN,IN20,"Roush Lake",A,1983-08-22,,Huntington,IN,40.8401,-85.4639,244,Indiana,R
NTN,IN22,"Southwest Purdue Agriculture Center",A,1984-09-25,,Knox,IN,38.7408,-87.4855,134,Indiana,R
NTN,IN34,"Indiana Dunes National Lakeshore",A,1980-07-15,,Porter,IN,41.6318,-87.0881,208,Indiana,S
NTN,IN41,"Agronomy Center for Research and Extension",A,1982-07-13,,Tippecanoe,IN,40.4749,-86.9924,215,Indiana,S
NTN,KS07,"Farlington Fish Hatchery",A,1984-03-27,,Crawford,KS,37.6511,-94.8036,281,Kansas,I
NTN,KS31,"Konza Prairie",A,1982-08-17,,Riley,KS,39.1022,-96.6092,350,Kansas,R
NTN,KS32,"Lake Scott State Park",A,1984-03-27,,Scott,KS,38.6717,-100.9164,863,Kansas,I
NTN,KY03,Mackville,A,1983-11-29,,Washington,KY,37.7047,-85.0489,293,Kentucky,R
NTN,KY10,"Mammoth Cave National Park-Houchin Meadow",A,2002-08-27,,Edmonson,KY,37.1317,-86.1480,236,Kentucky,R
NTN,KY19,"Cannons Lane",A,2003-10-07,,Jefferson,KY,38.2288,-85.6545,177,Kentucky,U
NTN,KY22,"Lilley Cornett Woods",A,1983-09-06,,Letcher,KY,37.0778,-82.9936,335,Kentucky,R
NTN,KY35,"Clark State Fish Hatchery",A,1983-08-30,,Rowan,KY,38.1183,-83.5469,204,Kentucky,R
NTN,LA12,"Iberia Research Station",A,1982-11-16,,Iberia,LA,29.9310,-91.7165,6,Louisiana,R
NTN,LA30,"Southeast Research Station",A,1983-01-18,,Washington,LA,30.7819,-90.2021,77,Louisiana,R
NTN,MA01,"North Atlantic Coastal Lab",A,1981-12-15,,Barnstable,MA,41.9759,-70.0241,57,Massachusetts,R
NTN,MA08,"Quabbin Reservoir",A,1982-03-05,,Franklin,MA,42.3925,-72.3444,306,Massachusetts,R
NTN,MA14,Nantucket,A,2014-03-04,,Nantucket,MA,41.2897,-70.1751,16,Massachusetts,R
NTN,MA22,"Boston University",A,2015-06-16,,Suffolk,MA,42.3501,-71.1044,32,Massachusetts,U
NTN,MA98,"Arnold Arboretum",A,2016-02-09,,Suffolk,MA,42.2953,-71.1340,48,Massachusetts,U
NTN,MD08,"Piney Reservoir",A,2004-06-29,,Garrett,MD,39.7053,-79.0122,769,Maryland,R
NTN,MD13,Wye,A,1983-03-08,,"Queen Annes",MD,38.9131,-76.1525,6,Maryland,R
NTN,MD15,"Smith Island",A,2004-06-01,,Somerset,MD,37.9925,-76.0345,2,Maryland,I
